Learning Rate	Train Loss1	Train Loss2	
0.100000	0.973337	0.842864	
0.100000	1.003133	0.971839	
0.100000	1.103391	0.884096	
0.100000	0.822909	0.779535	
0.100000	1.084035	0.991392	
0.100000	0.962527	0.871637	
0.100000	1.024900	0.923226	
0.100000	1.044549	0.856770	
0.100000	1.031381	0.886760	
0.100000	1.281506	1.206868	
0.100000	1.353061	1.170586	
0.100000	0.999444	0.719531	
0.100000	0.864733	0.737697	
0.100000	1.235296	1.047900	
0.100000	0.981692	1.008013	
0.100000	1.401587	0.990853	
0.100000	1.043426	0.975070	
0.100000	1.016558	0.944724	
0.100000	0.975368	0.945536	
0.100000	1.001920	0.907117	
0.100000	0.945951	0.927982	
0.100000	1.077888	1.102070	
0.100000	1.161272	1.015049	
0.100000	1.301437	0.988083	
0.100000	1.134969	0.896759	
0.100000	1.058287	0.893452	
0.100000	1.080505	0.962602	
0.100000	0.938433	0.820533	
0.100000	0.799564	0.811285	
0.100000	1.116714	0.899393	
0.100000	1.042306	0.947493	
0.100000	1.091696	0.889404	
0.100000	0.969478	0.891432	
0.100000	1.253819	0.946361	
0.100000	0.945655	0.869427	
0.100000	1.024143	1.009322	
0.100000	1.147890	0.941819	
0.100000	1.123784	0.965943	
0.100000	1.195806	1.001213	
0.100000	0.819190	0.596013	
0.100000	1.027478	0.907955	
0.100000	1.004312	0.852062	
0.100000	0.867689	0.795575	
0.100000	0.985087	0.756846	
0.100000	1.168771	1.020638	
0.100000	1.318889	1.215525	
0.100000	1.258650	1.239237	
0.100000	1.048038	1.023877	
0.100000	1.061531	1.078352	
0.100000	0.976368	0.874334	
0.100000	0.903395	0.724849	
0.100000	1.098936	1.103461	
0.100000	0.869330	0.732815	
0.100000	1.005195	0.777204	
0.100000	1.263410	1.256640	
0.100000	0.797907	0.599632	
0.100000	1.130612	0.915102	
0.100000	1.372559	1.234519	
0.100000	1.083621	1.025552	
0.100000	1.001127	0.811902	
0.100000	1.029007	0.993540	
0.100000	1.062957	1.080086	
0.100000	0.897444	0.986709	
0.100000	1.160380	1.035459	
0.100000	1.014508	0.926277	
